"Test","Batch","Maquina","Usuario","Descripcion","Accion","Elemento","Valor","Nivel","Tiempo (ms)","Tiempo (s)","Estado","Error Type","Error Message","Archivo Origen"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","Given el actor tiene un navegador disponible","","","","0","298","0.3","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","When abre la pagina de casos","","","","0","76075","76.08","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","And realiza login con credenciales","","","","0","59604","59.6","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","And navega a agent","","","","0","9616","9.62","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| AMAZONAS | ARARA | NO | NO | CONDUCTOR ELEGIDO | CONDUCTOR ELEGIDO |","","","","0","124890","124.89","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","","","","0","161159","161.16","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","SERGIO","Sergio","And transicionamos los estados del caso","","","","0","53923","53.92","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","Given el actor tiene un navegador disponible","","","","0","173","0.17","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","When abre la pagina de casos","","","","0","58130","58.13","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","And realiza login con credenciales","","","","0","40458","40.46","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","And navega a agent","","","","0","16205","16.2","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","And diligencia caso express completo desde feature
| departamento_solicita | municipio_solicita | servicios_especiales | gestor_coordinacion | linea | servicio |
| AMAZONAS | ARARA | NO | NO | CONDUCTOR ELEGIDO | CONDUCTOR ELEGIDO |","","","","0","129872","129.87","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","And diligenciamos el proveedor
| Nombre del proveedor | Servicio |
| PROVEEDOR PRUEBA | TOMA SERVICIO |","","","","0","213679","213.68","SUCCESS","","","step_details_20260511_143940.csv"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","SERGIO","Sergio","And transicionamos los estados del caso","","","","0","58048","58.05","SUCCESS","","","step_details_20260511_143940.csv"
